kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
Ruangan nya lumayan panas,ruang panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Hal yang menjadi kendala saya pada saat pelatihan adalah fasilitas komputer yang mempunyai ikon dan fitur dan tidak terupdate, dan perihal saya tidak mempunyai laptop pribadi sehingga ada keterlambatan dalam mengerjakan tugas, saran saya kedepan mngkin mengenai fasilitas lebih dapat mencakup hal yang menjadi kekurangan dalam pelatihan, diluar dari pada itu smua hal yang saya dapatkan luarbiasa dan akan menjadi pengalaman yang akan selalu dikenang.",kendala latih fasilitas komputer lambang fitur tidak terupdate perihal tidak laptop pribadi lambat tugas depan mngkin fasilitas lebih cakup kurang latih luar dapat luarbiasa alam kenang,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-3,bermakna,6
"Kritik : suhu ruangan panas, dan beberapa kursinya berbahan kayu, sehingga saat diduduki pantat sakit karena terlalu duduk di kirsi yang tidak empuk
 Saran : vasilitas lengkap",suhu ruang panas kursi bahan kayu duduk pantat sakit duduk kirsi tidak empuk vasilitas lengkap,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-4,bermakna,3
Sangat memadai dan membantu bagi peserta yang tidak mempunyai laptop,sangat pada bantu serta tidak laptop,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Jaringan kurang memuaskan mungkin karena banyaknya pengguna,jaring kurang muas banyak guna,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
Saran saya untuk pelatihan nanti dikirirakan agar bisa menyediakan meja 1 orang 1 😁,latih dikirirakan sedia meja orang,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Saya rasa sudah bagus hanya perlu ditingkatkan lagi soal jaringannya karena kebanyakan komputer tidak dapat melakukan hotspot pada jaringannya jadi agak sulit jika kita memakai laptop sendiri untuk melakukan praktik yg dilakukan,bagus jaring banyak komputer tidak hotspot jaring sulit pakai laptop praktik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
"tidak ada kritik, dan saran saya mungkin dengan banyaknya peserta ruangannya bisa melakukan pelatihan ditempat yang memilik banyak ventilasi udara jika tidak ada AC, karena siang hari itu sangat pengap diruangan, terimakasih untuk semuanya pihak dari SMK 2, dari Kominfo, dari pemateri dan juga asesor dan yg lainnya.",tidak banyak serta ruang latih tempat milik ventilasi udara tidak ac siang sangat pengap ruang smk kominfo materi asesor,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-5,bermakna,4
Kedepannya agar ruangan yang digunakan lebih bersih lagi,depan ruang lebih bersih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Ruangan yang ditempati sangat nyaman saat melakukan pelatihan namun koneksi internet kurang baik,ruang tempat sangat nyaman latih koneksi internet kurang baik,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-2,bermakna,0
Kedepannyya agara ruangnya lebih besih lagi,kedepannyya agara ruang lebih besih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Untuk ruangan yang digunakan pada OKM Kelas A, Kipas angin tidak semuanya berfungsi, sehingga peserta pelatihan ada yang kepanasan
 
 Sarannya, kedepannya mungkin ruangan yang akan digunakan pada saat pelatihan harus di cek dengan baik sebelum kegiatan dilaksanakan guna untuk kenyamanan peserta.",ruang okm kelas a kipas angin tidak fungsi serta latih panas saran depan ruang latih cek baik giat laksana nyaman serta,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-2,bermakna,6
Saran terkait dengan kegiatan seperti ini baiknya ditahun selanjutnya kegiatan ini diselenggarakan lagi terkhususnya dikabupaten Kabupaten Majene. Besar harapan kami.,kait giat baik tahun giat selenggara khusus kabupaten kabupaten majene harap,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Tidak ad kritik dan saran dalam kegiatan ini, rencana sih kalau kegiatan ini ada lagi mau ikutan lagi",tidak giat rencana giat ikut,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Mohon ditingkatkan lagi,,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
"Colokan listrik seharusnya di siapkan oleh panitia, bukan dibawa masing-masing peserta",colok listrik siap panitia bawa masingmasing serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,3,bermakna,1
"Terkait dengan kegiatan pelatihan ini, Ruangan nya baik dan nyaman dan fasilitas nya jga lengkap dengan komputer dan jaringan nya",kait giat latih ruang baik nyaman fasilitas lengkap komputer jaring,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,0
Ruangan yang ditempati sangat nyaman dalam melakukan pelatihan apalagi pematerinya jga sangat cerdas dalam melakukan pemaparan materi sehingga dalam penyampaian materi dengan fasilitas yg memadai,ruang tempat sangat nyaman latih pater sangat cerdas papar materi sampai materi fasilitas pada,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-3,bermakna,0
Diperhatikan lagi kursi untuk peserta pelatihan,perhati kursi serta latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
jaringan susah di akses,jaring susah akses,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
"Kritik di berikan kesempatan banyak (waktu pelatihan & materi agar maksimal pelatihan) banyak peserta ikut serta karena banyaknya mahasiswa & masyarakat menganggur & butuh pelatihan banyak, secepatnya ada sertifikat peserta & sertifikat kompetensi agar peserta dapat mudah menjangkau & mudah melamar pekerjaan karena Kabupaten Majene juga merupakan kota pendidikan di provinsi sulawesi Barat. Saran saya mudah mudahan pelatihan dari kominfo ri sering-sering di adakan di Sulawesi Barat khusus nya D Kabupaten Majene untuk para pemuda & pelajar, mahasiswa dapat kesempatan sepenuhnya yg belum pernah mengikuti. Banyak teman""ingin banget ikut. Terimakasih banyak untuk KOMINFO RI serta BBPSDM MAKASSAR. Kakak panitia & mentor serta para assessor. Dalam dari Kabupaten Majene",sempat latih materi maksimal latih serta banyak mahasiswa masyarakat anggur butuh latih cepat sertifikat serta sertifikat kompetensi serta mudah jangkau mudah lamar kerja kabupaten majene kota didik provinsi sulawesi barat mudah mudah latih kominfo ri seringsering adakan sulawesi barat khusus kabupaten majene pemuda ajar mahasiswa sempat sepenuh ikut temaningin kominfo ri bbpsdm makassar kakak panitia mentor assessor kabupaten majene,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,3,bermakna,2
Tingkatkan fasilitas yang memadai sesuai skema pelatihan,tingkat fasilitas pada sesuai skema latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,1
"materi yang disampaikan sudah bagus, hanya saja kurang memperhatikan semua peserta sehingga ada peserta yang ketinggalan materi",materi bagus kurang perhati serta serta tinggal materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,1
Mungkin bisa lebih ditingkatkan fasilitasnya,lebih fasilitas,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Semua berjalan dengan baik. Terima kasih telah mengadakan kegiatan ini di Kabupaten Majene kami jadi banyak belajar dari pelatihan ini.,jalan baik ada giat kabupaten majene ajar latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
Materi tidak jelas sampai dikursi belakang.,materi tidak kursi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,1
Saran saya ruangannya butuh kipas karna kurang nyaman klau panas,ruang butuh kipas kurang nyaman klau panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
Ruangannya yang cukup panas serta tidak ada akses jaringan wifi,ruang panas tidak akses jaring wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,3
Kritikan sy adalah kekurangan dalam kelas hanya faktor kursi yg tdk mencukupi saat di smk 2. Dan saran saya adalah kurangnya colokan listrik alangkah baiknya ditambahkan,kritik kurang kelas faktor kursi tidak cukup smk kurang colok listrik alangkah baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-7,bermakna,3
Tetap dipertahankan dan ditingkatkan,tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Saya kemarin kurang memahami materi diakibatkan layar yg jauh dan tidak jelas karna posisi sy dibelakang,kemarin kurang paham materi akibat layar tidak posisi belakang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,3
untuk ruangannya tidak tersedia wifi,ruang tidak sedia wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Tempatnya agak sempit,tempat sempit,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,0
Jarak nya jauh saya di sudiang,jarak sudiang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Semoga Kebersihan Lebih di tingkatkan,bersih lebih tingkat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Ac nya kurang dingin,ac kurang dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
"Mungkin bisa dipindahkan ke lantai 2 atau 3 saja, jangan lantai 5",pindah lantai lantai,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Saran Kalau bisa setiap ruangan tersedia fasilitas wifi,ruang sedia fasilitas wifi,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"saran saya modul untuk pelatihan dibuat agar bisa disimpan secara offline, agak ribet ketika mengakses modul mls melalui web",modul latih simpan offline ribet akses modul malas web,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Falisitas sudah memadai namun screen proyektor mungkin kurang lebar,falisitas pada screen proyektor kurang lebar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
"mungkin lebih menambah tempat untuk per orangan per meja , dan monitor penjelasan diadakan dengan lebih jelas",lebih tambah orang meja monitor jelas lebih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,3,bermakna,3
Ruangan sudah nyaman dan untuk saran dapat menyediakan stok kontak,ruang nyaman sedia stok kontak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Belum ada. Semuanya berjalan lancar,jalan lancar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Sebaiknya ruangannya lebih luas atau kuota per kelas dikurangi agar tidak terlalu padat dalam ruangan 🙏🏻,ruang lebih luas kuota kelas rang tidak padat ruang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-4,bermakna,2
"Tidak ada wifi, dan tidak soal uji nya berbeda seperti yg di kabarkan",tidak wifi tidak uji beda kabar,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",negatif,-2,bermakna,3
"Kuota data habis, kedepannya mungkin bisa kerjasama dengan pihak tempat pelaksanaan untuk menyediakan layanan akses internet dan bukan dari biaya sendiri untuk internetnya",kuota data habis depan kerjasama laksana sedia layan akses internet biaya internetnya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Tidak ada koneksi internet,tidak koneksi internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Kurangnya jaringan internet,kurang jaring internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
fasilitas jaringan internet dikelas,fasilitas jaring internet kelas,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
Kelasnya lumayan ada ac,kelas ac,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Mungkin jaringannya bisa lebih ditingkatkan,jaring lebih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Kebersihan kelas bis ditingkatkan lagi,bersih kelas bis,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Jika selesai pelatihan sampah langsung dibersihkan,selesai latih sampah langsung bersih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
Semoga bisa lebih baik dari sebwlumnya,lebih baik sebwlumnya,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Tidak adaji kritik kak. Saranji dingin sekali ac nya kodong. Cocok kayaknya untuk orang korea hehe 😁😁🙏🙏,tidak adaji saranji dingin ac kodong cocok kayak orang korea he,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-2,bermakna,2
ruangan dan fasilitas pelatihan secara keseluruhan sudah sangat baik,ruang fasilitas latih sangat baik,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Mungkin kursinya di buat lebih empuk atau ada gabusnya gitu biar bokong nggk pegal,kursi lebih empuk gabus bokong nggk pegal,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Mungkin untuk kelas yang tidak memiliki jaringan WiFi bisa diakomodasi kan sesuai kebutuhan,kelas tidak milik jaring wifi akomodasi sesuai butuh,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
"Not bad, tapi masih banyak hal hal kecil lajnnya yang kurang puas",not bad lajnnya kurang puas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Kurang fasilitas internet,kurang fasilitas internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Kurang fasilitas Tidak adanya akses internet,kurang fasilitas tidak akses internet,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Mohon Untuk Di sediakan kabel sambungan Agar Kiranya Peserta tidak repot lagi membawa sendiri,sedia kabel sambung serta tidak repot bawa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Internet kurang cepat,internet kurang cepat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ac terlalu dingin,ac dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
"Mohon fasilitas stop kontak disediakan di beberapa posisi peserta, ruangan kelas lumayan panas dan ac tidak berfungsi dengan baik",fasilitas henti kontak sedia posisi serta ruang kelas panas ac tidak fungsi baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
Ruangan saya AC nya panas sangat tdk mendukung kegiatan pelatihan,ruang ac panas sangat tidak dukung giat latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,3
"Ruangan yang disediakan belum cukup memadai. Untuk kegiatan berikutnya, saran saya dilab kampus umi lebih baik.",ruang sedia pada giat lab kampus umi lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Alangkah lebih baiknya untuk pelatihan desain setidaknya pihak kominfo menyediakan laptop untuk peserta yang tidak mempunyai laptop untuk dipakai pelatihan agar materi tentang aplikasi yang digunakan itu sama rata dan tidak terbagi fokusnya karna materi yang diajarkan berbeda dengan software yang dipakai peserta,alangkah lebih baik latih desain kominfo sedia laptop serta tidak laptop pakai latih materi aplikasi tidak bagi fokus materi ajar beda software pakai serta,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,3
Next mungkin ruangan yang dipakai bisa di lantai lebih rendah seperti lantai 2 atau lantai 1,ruang pakai lantai lebih rendah lantai lantai,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Colokan sepertinya perlu di tambah,colok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
kaca jendela belakang Ruangan kalau bisa diksh gorden. selebihnya luar biasa. keren,kaca jendela ruang diksh gorden lebih keren,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Kedepannya agar port listrik lebih memadai,depan port listrik lebih pada,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
Menggunakan 1 lokasi untuk pembukaan dan pelatihan,lokasi buka latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
"Meja berdebu, Proyektor tidak jelas di karenakan cahaya dari luar",meja debu proyektor tidak karena cahaya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
Kdepannya ruangan kebersihan nya lebih terjaga,kdepannya ruang bersih lebih jaga,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Saran saya lebih cpt di percepat jadwal istirahatnya,lebih cpt cepat jadwal istirahat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Ac yang tidak terlalu dingin
 saran:
 mungkin ac nya bisa di tambah",ac tidak dingin ac,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
ruangan dan fasilitas sudah sangat memadai,ruang fasilitas sangat pada,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-2,bermakna,0
Kursinya dan mejanya dibuat lebih nyaman,kursi meja lebih nyaman,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"untuk cyber security tidak ada file prakter yang sudah di sediakan serangan untuk di identifikasi. kurang praktek. tdk adanya praktek pertahanan. tdk ada praktek penyerangan, lebih baik ada server target yang di sediakan untuk latihan penyerangan atau pertahanan",cyber security tidak file prakter sedia serang identifikasi kurang praktek tidak praktek tahan tidak praktek serang lebih baik server target sedia latih serang tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-4,bermakna,5
Untuk ruangannya sangat mendukung tapi saran nya untuk fasilitas pelatihan dalam bentuk hardware dan modul,ruang sangat dukung fasilitas latih bentuk hardware modul,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,1
Sepertinya AC nya ada sedikit masalah.,ac,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,tidak bermakna,0
Kurang Wifi untuk pelatihan IT,kurang wifi latih it,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
"AC di ruang kelas tidak berfungsi dengan baik jadi ruang kelas agak panas saat melakukan sesi pembelajaran , saran semoga AC nya segera diperbaik agar kedepannya tidak kepanasan saat melakukan pembelajaran",ac ruang kelas tidak fungsi baik ruang kelas panas sesi ajar ac baik depan tidak panas ajar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-6,bermakna,4
Fasilitas wifi tidak diberikan kepada peserta.,fasilitas wifi tidak serta,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,1
ruangan dan fasilitas pelatihan sudah sangat baik,ruang fasilitas latih sangat baik,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
Wifi harap disediakan,wifi harap sedia,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
"Berikan fasilitas yang memadai. Jaringan WIFI sangat buruk, ac terkasang tidak dingin, tidak disediakan colokan listrik, akses menuju lt atas sangat susah (tangga).",fasilitas pada jaring wifi sangat buruk ac kasang tidak dingin tidak sedia colok listrik akses lt sangat susah tangga,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,5
Kedepannya mungkin bisa diberikan akses ke jaringan wifi,depan akses jaring wifi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Menurut saya fasilitasnya sudah sangat bagus dan nyaman sih, jadi semoga hal ini bisa tetap di pertahankan bahkan di tingkatkan lagi. Terimakasih",fasilitas sangat bagus nyaman tahan tingkat,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,2,bermakna,0
Sarannya kedepannya ada penunjang lagi seperti wifi dan kelasnya tidak susah di akses,saran depan tunjang wifi kelas tidak susah akses,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,6
"Gak punya kritik dan saran karena luar biasa fasilitas pelatihanya, terimkasih",tidak fasilitas pelatihanya terimkasih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
Sebaiknya di dalam ruangan disediakan stop kontak yang cukup untuk semua peserta,ruang sedia henti kontak serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Ruangannya terbilang sempit sehingga para peserta, pemateri maupun assesor kesulitan dalam menghendle semua peserta sebaiknya di ruangan yang lebih luas lagi untuk jumlah peserta 30-an",ruang bilang sempit serta materi assesor sulit menghendle serta ruang lebih luas serta an,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,2
"Ruangannya kecil untuk kapasitas 30 orang dan meja-kursinya kecil dan pendek sehingga orang yg agak tinggi seperti saya kurang nyaman meletakkan kaki. 
 
 Saran saya untuk kedepannya memperbaiki fasilitas dalam kelas saja seperti meja dan kursi",ruang kapasitas orang mejakursinya pendek orang kurang nyaman letak kaki depan baik fasilitas kelas meja kursi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Di perbarui Cat nya jadi hitam supaya aestetik 🙏😅,baru cat hitam aestetik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Sebaiknya tersedia stop kontak lebih bukan hanya di meja supaya,sedia henti kontak lebih meja,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Untuk fasilitas agar disediakan stop kontak untuk masing² peserta,fasilitas sedia henti kontak serta,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Tidak bisa membawa makanan ke ruangan,tidak bawa makan ruang,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,1
"Untuk kursi meja kecil, listriknya kurang memadai karena cuman ada 1 colokan",kursi meja listrik kurang pada cuma colok,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
ac di ruangan kurang dingin🙏🏻,ac ruang kurang dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-2,bermakna,1
"Ruang pelatihannya dilantai 5 dan itu cukup menguras tenaga, ruangannya juga tidak terlalu dingin",ruang latih lantai uras tenaga ruang tidak dingin,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-3,bermakna,2
Sediakan wifi dan kemudahan akses ruangan,sedia wifi mudah akses ruang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
sebaiknya di dalam kelas tidak boleh membawa makanan masuk meskipun itu berupa snack karna bisa menimbulkan pencemaran sampah di dalam ruangan kelas🙌🏻,kelas tidak bawa makan masuk snack timbul cemar sampah ruang kelas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-8,bermakna,2
untuk fasilitas yang diberikan selama pelatihan sangat memadai,fasilitas latih sangat pada,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
sedikit tambahan untuk meja masih kurang,tambah meja kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,5
posisi duduk modelnya membelakangi pemateri jadi kami sebagai peserta kurang nyaman,posisi duduk model belakang materi serta kurang nyaman,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
Tingkatkan fasilitas dan kebersihan nya saja,tingkat fasilitas bersih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
