komentar bermakna,klaster,sentimen,makna
Saran terkait dengan kegiatan seperti ini baiknya ditahun selanjutnya kegiatan ini diselenggarakan lagi terkhususnya dikabupaten Kabupaten Majene. Besar harapan kami.,7,positif,bermakna
"Tidak ad kritik dan saran dalam kegiatan ini, rencana sih kalau kegiatan ini ada lagi mau ikutan lagi",7,negatif,bermakna
"Colokan listrik seharusnya di siapkan oleh panitia, bukan dibawa masing-masing peserta",7,positif,bermakna
"Terkait dengan kegiatan pelatihan ini, Ruangan nya baik dan nyaman dan fasilitas nya jga lengkap dengan komputer dan jaringan nya",4,positif,bermakna
Ruangan yang ditempati sangat nyaman dalam melakukan pelatihan apalagi pematerinya jga sangat cerdas dalam melakukan pemaparan materi sehingga dalam penyampaian materi dengan fasilitas yg memadai,4,negatif,bermakna
Diperhatikan lagi kursi untuk peserta pelatihan,4,positif,bermakna
jaringan susah di akses,7,positif,bermakna
"Kritik di berikan kesempatan banyak (waktu pelatihan & materi agar maksimal pelatihan) banyak peserta ikut serta karena banyaknya mahasiswa & masyarakat menganggur & butuh pelatihan banyak, secepatnya ada sertifikat peserta & sertifikat kompetensi agar peserta dapat mudah menjangkau & mudah melamar pekerjaan karena Kabupaten Majene juga merupakan kota pendidikan di provinsi sulawesi Barat. Saran saya mudah mudahan pelatihan dari kominfo ri sering-sering di adakan di Sulawesi Barat khusus nya D Kabupaten Majene untuk para pemuda & pelajar, mahasiswa dapat kesempatan sepenuhnya yg belum pernah mengikuti. Banyak teman""ingin banget ikut. Terimakasih banyak untuk KOMINFO RI serta BBPSDM MAKASSAR. Kakak panitia & mentor serta para assessor. Dalam dari Kabupaten Majene",4,positif,bermakna
Tingkatkan fasilitas yang memadai sesuai skema pelatihan,4,positif,bermakna
"materi yang disampaikan sudah bagus, hanya saja kurang memperhatikan semua peserta sehingga ada peserta yang ketinggalan materi",1,positif,bermakna
Mungkin bisa lebih ditingkatkan fasilitasnya,4,positif,bermakna
Semua berjalan dengan baik. Terima kasih telah mengadakan kegiatan ini di Kabupaten Majene kami jadi banyak belajar dari pelatihan ini.,4,netral,bermakna
Materi tidak jelas sampai dikursi belakang.,1,negatif,bermakna
Saran saya ruangannya butuh kipas karna kurang nyaman klau panas,7,negatif,bermakna
Ruangannya yang cukup panas serta tidak ada akses jaringan wifi,7,netral,bermakna
Kritikan sy adalah kekurangan dalam kelas hanya faktor kursi yg tdk mencukupi saat di smk 2. Dan saran saya adalah kurangnya colokan listrik alangkah baiknya ditambahkan,7,negatif,bermakna
Saya kemarin kurang memahami materi diakibatkan layar yg jauh dan tidak jelas karna posisi sy dibelakang,7,negatif,bermakna
untuk ruangannya tidak tersedia wifi,7,negatif,bermakna
Tempatnya agak sempit,7,negatif,bermakna
Jarak nya jauh saya di sudiang,7,netral,bermakna
Semoga Kebersihan Lebih di tingkatkan,7,positif,bermakna
Ac nya kurang dingin,6,negatif,bermakna
"Mungkin bisa dipindahkan ke lantai 2 atau 3 saja, jangan lantai 5",7,netral,bermakna
Saran Kalau bisa setiap ruangan tersedia fasilitas wifi,4,netral,bermakna
"saran saya modul untuk pelatihan dibuat agar bisa disimpan secara offline, agak ribet ketika mengakses modul mls melalui web",7,negatif,bermakna
Falisitas sudah memadai namun screen proyektor mungkin kurang lebar,7,negatif,bermakna
"mungkin lebih menambah tempat untuk per orangan per meja , dan monitor penjelasan diadakan dengan lebih jelas",7,positif,bermakna
Ruangan sudah nyaman dan untuk saran dapat menyediakan stok kontak,7,netral,bermakna
Belum ada. Semuanya berjalan lancar,7,netral,bermakna
Sebaiknya ruangannya lebih luas atau kuota per kelas dikurangi agar tidak terlalu padat dalam ruangan 🙏🏻,7,negatif,bermakna
"Tidak ada wifi, dan tidak soal uji nya berbeda seperti yg di kabarkan",2,negatif,bermakna
"Kuota data habis, kedepannya mungkin bisa kerjasama dengan pihak tempat pelaksanaan untuk menyediakan layanan akses internet dan bukan dari biaya sendiri untuk internetnya",7,positif,bermakna
Tidak ada koneksi internet,7,negatif,bermakna
Kurangnya jaringan internet,7,netral,bermakna
fasilitas jaringan internet dikelas,4,netral,bermakna
Kelasnya lumayan ada ac,7,negatif,bermakna
Mungkin jaringannya bisa lebih ditingkatkan,7,positif,bermakna
Kebersihan kelas bis ditingkatkan lagi,7,negatif,bermakna
Jika selesai pelatihan sampah langsung dibersihkan,4,netral,bermakna
Semoga bisa lebih baik dari sebwlumnya,1,positif,bermakna
Tidak adaji kritik kak. Saranji dingin sekali ac nya kodong. Cocok kayaknya untuk orang korea hehe 😁😁🙏🙏,6,negatif,bermakna
ruangan dan fasilitas pelatihan secara keseluruhan sudah sangat baik,4,negatif,bermakna
Mungkin kursinya di buat lebih empuk atau ada gabusnya gitu biar bokong nggk pegal,7,positif,bermakna
Mungkin untuk kelas yang tidak memiliki jaringan WiFi bisa diakomodasi kan sesuai kebutuhan,7,positif,bermakna
"Not bad, tapi masih banyak hal hal kecil lajnnya yang kurang puas",7,negatif,bermakna
Kurang fasilitas internet,7,negatif,bermakna
Kurang fasilitas Tidak adanya akses internet,7,negatif,bermakna
Mohon Untuk Di sediakan kabel sambungan Agar Kiranya Peserta tidak repot lagi membawa sendiri,7,negatif,bermakna
Internet kurang cepat,7,negatif,bermakna
Ac terlalu dingin,6,netral,bermakna
"Mohon fasilitas stop kontak disediakan di beberapa posisi peserta, ruangan kelas lumayan panas dan ac tidak berfungsi dengan baik",7,negatif,bermakna
Ruangan saya AC nya panas sangat tdk mendukung kegiatan pelatihan,4,negatif,bermakna
"Ruangan yang disediakan belum cukup memadai. Untuk kegiatan berikutnya, saran saya dilab kampus umi lebih baik.",1,positif,bermakna
Alangkah lebih baiknya untuk pelatihan desain setidaknya pihak kominfo menyediakan laptop untuk peserta yang tidak mempunyai laptop untuk dipakai pelatihan agar materi tentang aplikasi yang digunakan itu sama rata dan tidak terbagi fokusnya karna materi yang diajarkan berbeda dengan software yang dipakai peserta,1,positif,bermakna
Next mungkin ruangan yang dipakai bisa di lantai lebih rendah seperti lantai 2 atau lantai 1,7,negatif,bermakna
kaca jendela belakang Ruangan kalau bisa diksh gorden. selebihnya luar biasa. keren,7,netral,bermakna
Kedepannya agar port listrik lebih memadai,1,netral,bermakna
Menggunakan 1 lokasi untuk pembukaan dan pelatihan,4,netral,bermakna
"Meja berdebu, Proyektor tidak jelas di karenakan cahaya dari luar",7,negatif,bermakna
Kdepannya ruangan kebersihan nya lebih terjaga,7,netral,bermakna
Saran saya lebih cpt di percepat jadwal istirahatnya,7,netral,bermakna
"Ac yang tidak terlalu dingin
 saran:
 mungkin ac nya bisa di tambah",6,negatif,bermakna
ruangan dan fasilitas sudah sangat memadai,4,negatif,bermakna
Kursinya dan mejanya dibuat lebih nyaman,7,positif,bermakna
"untuk cyber security tidak ada file prakter yang sudah di sediakan serangan untuk di identifikasi. kurang praktek. tdk adanya praktek pertahanan. tdk ada praktek penyerangan, lebih baik ada server target yang di sediakan untuk latihan penyerangan atau pertahanan",7,negatif,bermakna
Untuk ruangannya sangat mendukung tapi saran nya untuk fasilitas pelatihan dalam bentuk hardware dan modul,4,positif,bermakna
Kurang Wifi untuk pelatihan IT,4,negatif,bermakna
"AC di ruang kelas tidak berfungsi dengan baik jadi ruang kelas agak panas saat melakukan sesi pembelajaran , saran semoga AC nya segera diperbaik agar kedepannya tidak kepanasan saat melakukan pembelajaran",7,negatif,bermakna
Fasilitas wifi tidak diberikan kepada peserta.,4,netral,bermakna
ruangan dan fasilitas pelatihan sudah sangat baik,4,negatif,bermakna
Wifi harap disediakan,7,positif,bermakna
"Berikan fasilitas yang memadai. Jaringan WIFI sangat buruk, ac terkasang tidak dingin, tidak disediakan colokan listrik, akses menuju lt atas sangat susah (tangga).",7,negatif,bermakna
Kedepannya mungkin bisa diberikan akses ke jaringan wifi,7,positif,bermakna
"Menurut saya fasilitasnya sudah sangat bagus dan nyaman sih, jadi semoga hal ini bisa tetap di pertahankan bahkan di tingkatkan lagi. Terimakasih",4,positif,bermakna
Sarannya kedepannya ada penunjang lagi seperti wifi dan kelasnya tidak susah di akses,7,negatif,bermakna
"Gak punya kritik dan saran karena luar biasa fasilitas pelatihanya, terimkasih",4,negatif,bermakna
Sebaiknya di dalam ruangan disediakan stop kontak yang cukup untuk semua peserta,7,netral,bermakna
"Ruangannya terbilang sempit sehingga para peserta, pemateri maupun assesor kesulitan dalam menghendle semua peserta sebaiknya di ruangan yang lebih luas lagi untuk jumlah peserta 30-an",7,positif,bermakna
"Ruangannya kecil untuk kapasitas 30 orang dan meja-kursinya kecil dan pendek sehingga orang yg agak tinggi seperti saya kurang nyaman meletakkan kaki. 
 
 Saran saya untuk kedepannya memperbaiki fasilitas dalam kelas saja seperti meja dan kursi",7,negatif,bermakna
Di perbarui Cat nya jadi hitam supaya aestetik 🙏😅,7,negatif,bermakna
Sebaiknya tersedia stop kontak lebih bukan hanya di meja supaya,7,positif,bermakna
Untuk fasilitas agar disediakan stop kontak untuk masing² peserta,4,positif,bermakna
Tidak bisa membawa makanan ke ruangan,5,negatif,bermakna
"Untuk kursi meja kecil, listriknya kurang memadai karena cuman ada 1 colokan",7,negatif,bermakna
ac di ruangan kurang dingin🙏🏻,6,negatif,bermakna
"Ruang pelatihannya dilantai 5 dan itu cukup menguras tenaga, ruangannya juga tidak terlalu dingin",4,negatif,bermakna
Sediakan wifi dan kemudahan akses ruangan,7,positif,bermakna
sebaiknya di dalam kelas tidak boleh membawa makanan masuk meskipun itu berupa snack karna bisa menimbulkan pencemaran sampah di dalam ruangan kelas🙌🏻,7,negatif,bermakna
untuk fasilitas yang diberikan selama pelatihan sangat memadai,4,negatif,bermakna
sedikit tambahan untuk meja masih kurang,7,netral,bermakna
posisi duduk modelnya membelakangi pemateri jadi kami sebagai peserta kurang nyaman,7,positif,bermakna
Tingkatkan fasilitas dan kebersihan nya saja,4,positif,bermakna
"tampat duduk yang terlalu berdekatan, mungkin bisa diatur lagi supaya bisa lebih nyaman ditempati",7,positif,bermakna
"Tidak disediakan terminal atau tempat untuk terminal, jadinya kabel terminal peserta semrawutaan dimana2",7,negatif,bermakna
"Terkait ruangan dan fasilitas pelatihan sudah baik. Namun, akan lebih baik apabila kedepannya peserta menggunakan komputer yang sudah disediakan di ruangan untuk pelatihan",4,positif,bermakna
Untuk wc di unismuh kotor dan tersumbat sya tidk relevan,7,negatif,bermakna
pengaturan tempat duduknya bikin kepala saya capek menengok/ memiringkan kepala karana posisi kursi menyampingi proyektor,7,negatif,bermakna
Wifinya biasa lemot,7,positif,bermakna
"Ruang kelas sudah terasa nyaman, namun ada beberapa yang masih kurang seperti kurangnya stop kontak untuk charger device, agak sulit mengakses ruang kelas karena sedikit jauh",7,negatif,bermakna
Kurang pewangi ruangan,7,negatif,bermakna
"Pemilihan Ruang kelas bisa dikondisikan dengan lantai gedung tidak terlalu tinggi, krn hrus naik tanggal 5 lantai :)",7,negatif,bermakna
Mudah-mudahan pelatihan VSGA tetap berlanjut,4,netral,bermakna
"Kekurang air minum, mohon di lebihkan",7,negatif,bermakna
kebersihan ruangan,7,negatif,bermakna
sebaiknya untuk jangka waktu pelatihan 3 hari lebih baik 70% waktu pelatihannya dilakukan secara praktek,4,positif,bermakna
"bagusss, untuk selanjutnya mungkin bisa di kelompokkan berdasarkan software yang dipake misal Adobe, dan corel agar para peserta dapat mudah mengerjakan tugas yg diberikan",7,negatif,bermakna
Fasilitas sangat baik dan semoga bisa di bertambah baik lagi kedepan nya,3,positif,bermakna
saran dari saya peserta yang mengikuti program pelatihan sebaiknya menjaga kebersihan atau membuang sampah pada tempanya,4,negatif,bermakna
Ruangan nyaman cuman agak gelap,7,negatif,bermakna
Colokan perlu di perbanyak,7,netral,bermakna
Ruangan pelatihan sangat baik dan bersih.,3,negatif,bermakna
Lebih sering mengadakan pelatihan,4,positif,bermakna
Lebih sering mengadakan pelatihan,4,positif,bermakna
"Tidak ada, kecuali AC di ruangan dingin sekali bagi saya yang tidak terbiasa terekspos AC",6,negatif,bermakna
AC yang kadang tidak dingin,6,netral,bermakna
Ruangan pelatihan sangat jauh naik keatas,4,negatif,bermakna
Posisi duduk bangku peserta sangat berdempetan sehingga mengganggu kenyamanan aktifitas pelatihan,4,netral,bermakna
Semoga bisa di kembangkan dengan lebih baik lagi sehingga para mahasiswa ataupun para pelajar lainnya bisa nyaman.,1,positif,bermakna
Kurangnya terminal listrik,7,negatif,bermakna
Disarankan ditempat yang memadai dan lengkap,7,negatif,bermakna
di ruangannya ac kurang dingin kemudian akses ke kelas juga harus naik ke lantai 5 menggunakan tangga,6,negatif,bermakna
Ruangannya bisa yg lebih luas,7,positif,bermakna
Sangat nyaman tapi untuk 30 orang saya sempit tapi ok,7,netral,bermakna
Unk pelatihan yang menggunakan wifi agar lebih diperhatiakan sehingga selama proses pelatihan berjalan dengan baik,4,positif,bermakna
Mungkin agak kurang luas,7,netral,bermakna
"Sudah bagus, cuman jaringan internet di lokasi, lalod",7,netral,bermakna
"Terlalu padat, mungkin jumlah perkelas dikurangi kedepannya",7,negatif,bermakna
"maaf atas keritikan saya, mungkin ini kritikan mewakili kita semua, tempat sampah tidak disediakan di depan ruangan maupun didalam kelas, saran dari kami adalah semoga pelatihan angkatan selanjutnya tidak mengalami hal yang sama, semoga tempat sampahnya bisa disediakan saja di ruangan atau didepan ruangan agar peserta tidak jauh dari kelas untuk buang sampahnya, terimakasih #thankskominfo🔥🔥🔥",7,negatif,bermakna
Lebih safety lagi,1,positif,bermakna
"Untuk ruang belajar junior cyber security kabel proyektornya terkadang longgar, mungkin bisa di ganti",0,netral,bermakna
"AC yang kurang dingin, ruangan jadi panas",6,negatif,bermakna
"AC kurang dingin, kedepannya lebih memperhatikan fasilitasnya",6,netral,bermakna
Pengaturan suhu ruangan perlu lebih diperhatikan,7,netral,bermakna
Mungkin tempatnya lebih baik lagi kalau sedikit lebih rapi tatanan ruangannya,1,netral,bermakna
Menurut saya sudah bagus semua fasilitas dan prasarana yang diberikan selama pelatihan. yang perlu ditingkatkan hanya koneksi internet (Wifi).,4,positif,bermakna
Ruangan panas,7,negatif,bermakna
khusus di kelas B untuk layar LCD terlalu kecil sehingga untuk yang duduk di belakang tidak kelihatan jelas dan untuk ruangan nya kurang dingin sehingga peserta kurang nyaman karna gerah,7,negatif,bermakna
Mungkin bisa disediakan kabel sambungan lcd (hdmi to vga/sebaliknya) untuk jaga² jika ada peserta yang ingin menggunakan.,7,positif,bermakna
ruangan dingin dan bersih,6,negatif,bermakna
AC pendingin kurang dingin sehingga ruangan terasa panas,6,negatif,bermakna
Toilet nya kurang (cuma 1),7,negatif,bermakna
Tempat pelatihan sangat baik,3,netral,bermakna
Tempat nya sangat memadai,3,negatif,bermakna
wifi peruangan dan ac lebih di tingkatkan,7,positif,bermakna
Semoga kedepannya Makin di tingkatkan pelayanan serta Fasilitas pelatihan,4,positif,bermakna
Mungkin dapat di ditambah waktu pelatihannya lebih dari 5 hari,4,positif,bermakna
semoga event selanjutnya disediakan wifi yang lancar,7,positif,bermakna
Terkait kritik dan saran saya semoga dapat di adakab kegiatan berikutnya di kota palopo,7,netral,bermakna
Sangat baik dan memadai fasilitas dalam pelatihan,4,negatif,bermakna
"Saran saya untuk fasilitas pelatihannya mungkin perlu di tingkatkan terutama pada masalah jaringan, mohon untuk di sediakan.",4,positif,bermakna
Semoga kegiatan berikutnya lebih baik lagi,1,positif,bermakna
"Membutuhkan akses jaringan yang lebih baik, baiknya pihak pelaksana menyediakan jaringan",1,positif,bermakna
di sediakan wifi bagi peserta untuk menunjang aktivitas pada pelatihan sampai uji kompetensi selesai,2,positif,bermakna
wifi kampus nya lemot,7,positif,bermakna
Fasilitas jaringan kurang,4,netral,bermakna
Kurang wifi,7,negatif,bermakna
Di maksimalkan lagi untuk tempat duduknya,7,positif,bermakna
Ruangan dan fasilitas pelatihan sudah sangat mendukung dalam melakukan kegiatan pelatihan ini.,4,netral,bermakna
Ruangan dan fasilitas yang di sediakan sudah mendukung proses pelatihan berlangsung,4,positif,bermakna
Ruangan nya kurang luas,7,negatif,bermakna
jaringan terputus,7,positif,bermakna
"saran saya kak sering"" adakan pelatihan bgini hehe",4,netral,bermakna
"Kritik :
 1.kursi yang kurang bagus saat melaksanakan pelatihan dan seleksi
 2.kurang bersih
 Saran : 
 1. Tambahkan sandaran di belakang kursi
 2. Sebaiknya sebelum melaksanakan pelatihan dan seleksi ruangan sudah bersih agar peserta nyaman di dalam ruangan.",4,negatif,bermakna
"Tidak ada jritik, karena ruangan kelas sangat nyaman, mentor yang menyampaikan materi pun sangat baik. 
 Untuk saran sering lakukan kegiatan pelatihan lagi.",3,negatif,bermakna
Kritik dan saran dari saya yaitu kurangnya area untuk istirahat atau refreshment bagi peserta.,7,negatif,bermakna
Semakin di tingkatkan kualitas pelatihannya,4,positif,bermakna
"Saya harap pelatihan ini akan terus berlanjut di kampus cokriaminoto palopo, dan pendaftrannya di kasi bnyak lagi, sebab masi banyak yg ingin daftar namun sudah full.",4,negatif,bermakna
"Posisi tatanan kursi dan meja perlu di perbaiki, karena ada yang tidak menghadap ke tampilan LCD",7,negatif,bermakna
Agak jauh ruangan pelatihannya di lantai 3,4,negatif,bermakna
Fasilitasnya perlu ditingkatkan terutama masalah penyediaan jaringan diruangan,4,positif,bermakna
"Posisi tatanan kursi dan meja perlu diperbaiki, karena ada yang menyamping dan membelakangi LCD",7,negatif,bermakna
"Nyaman, tampilan LCD kurang jelas",7,netral,bermakna
baiknya pelaksana menyediakan jaringan untuk perserta,7,positif,bermakna
Menurut Saya ruangan dan Fasilitas pelatihan Sudah lengkap,4,negatif,bermakna
ac kurang dingin,6,negatif,bermakna
Kurang wifi untuk peserta,7,netral,bermakna
Jaringan internet (Wifi) tidak tersedia untuk peserta,7,positif,bermakna
Ruangan dan fasilitas pelatihan nyaman dan tidak mengganggu kegiatan pelatihan,4,negatif,bermakna
"Ruangan dan fasilitas pelatihan nyaman, dan tidak menganggu kegiatan pelatihan yang berlangsung",4,negatif,bermakna
Harus sesuai jam yg sudah di tentukan.,7,netral,bermakna
Terkadang terdengar bunyi-bunyian dari atas plafon ruangan sehingga mengganggu fokus saat belajar. But overall is good,7,netral,bermakna
Kualitas Lcd perlu di tingkatkan,7,positif,bermakna
"Saran saya kursinya diganti, pakai kursi yang ada gabus. karena kalau kursi plastik sakit punggung, soalnya duduk dari pagi sampai sore",0,negatif,bermakna
AC nya agak kurang dingin mungkin bisa di perbaiki,6,negatif,bermakna
Saran saya kepada pelatih dalam kegiatan ini agar lebih baik lagi dalam ber public speaking agar menambah minat untuk peserta dapat belajar.,1,positif,bermakna
Ac nya kurang dingin di karena dalam satu ruangan banyak peserta,6,negatif,bermakna
"Pelatihan yang di berikan pemateri sudah sangat menarik dan mudah di pahami, semoga kedepannya dalam memberikan materi lebih di tingkatkan",8,positif,bermakna
Internet kurang memadai,7,negatif,bermakna
Semuanya memiliki kapasitas yang memenuhi,7,positif,bermakna
"Kritik: untuk fasilitas mungkin sudah sangat baik dan cara pelatihannya juga dapat mudah dimengerti 
 Saran: saran saya fasilitas pelatihan ditambah lagi",4,positif,bermakna
"Fasilas WiFi tidak ada,dan jaringan di ruangan sangat tidak bagus sehingga kami mengalami kesulitan",7,negatif,bermakna
Posisi duduk dalam ruangan agar sekiranya di ubah,7,negatif,bermakna
Kurang wifi,7,negatif,bermakna
Kami sangat senang dengan kondisi ruangan dan fasilitas pelatihan yang telah disediakan. Semuanya telah memenuhi harapan kami dengan baik. Terima kasih atas perhatian dan penyediaan yang baik.,4,positif,bermakna
Menyediakan fasilitas yang baik dan lengkap,4,positif,bermakna
Di ruangan sebaiknya di sediakan komputer hehe,7,netral,bermakna
Kebersihan kurang d jaga,7,negatif,bermakna
Fasilitasnya disediakan,4,positif,bermakna
Alhamdulillah semua nyaman,7,positif,bermakna
Semoga Kedepannya Lbih baik lagi,1,netral,bermakna
Semoga kedepannya bisa pakai AC,6,netral,bermakna
Kurang pendinginan ruangan,6,negatif,bermakna
Ruangkelas Ribut krn kipas angin,7,netral,bermakna
untuk kedepannya mungkin lebih di perhatikan ruangannya agar lebih luas :),1,positif,bermakna
Kurang kipas,7,negatif,bermakna
Kurang AC,7,negatif,bermakna
Ruang kelas tidak ada kipas,7,negatif,bermakna
Tambahkan alat pendingin selain AC,6,positif,bermakna
Jaringan perlu di tingkatka,7,positif,bermakna
ruangan panas tdk ada kipas,7,negatif,bermakna
Saran saja agarada tambahan ac atau kipas angin,7,positif,bermakna
Sebaiknya didalam ruangan disediakan Sound System agar suara dari pemateri jelas didengar,7,positif,bermakna
semoga kedepannya bisa memberikan fasilitas ac atau penambahan kipas angin agar tidak panas,7,netral,bermakna
"Butuh gorden karena trpntul cahaya , trs mejanya membuat sya sngt cpk Krn hnya cmn stu orng ,iyasih Krn meja guru TPI lain kli bisa dperhatikan",7,negatif,bermakna
Komputer ngelek,7,netral,bermakna
Ruang kelas yang panas,7,negatif,bermakna
komputer ngelag,7,netral,bermakna
"Ruang kelas yang panas ,mungkin bisa di berikan kipas yang lebih",7,negatif,bermakna
Ruang kelas yang panas,7,negatif,bermakna
Ruangan kelas panas,7,negatif,bermakna
Ruangannya kurang pencahayaan,7,negatif,bermakna
Ruangan agak panas,7,negatif,bermakna
"Butuh meja yang lebih cocok digunakan duduk lama, dan ruangan terlalu silau.",7,negatif,bermakna
Ruangan panas,7,negatif,bermakna
Untuk kedepannya mungkin bisa memilih ruangan yg ber AC,7,negatif,bermakna
"sebaiknya durasi pelatihannya tidak singkat agar peserta dapat betul mempelajrinya sampai mengerti sehingga setelah pelatihan mampu segera mengaplikasikan yang telah di ajarkan.
 terima kasih telah memberi saya kesempatan untuk bergabung belajar di pelatihan ini. semoga bisa menguti pelatihan lainnya",4,negatif,bermakna
"Tambahakan kipas angin karna kalau siang hari, udh gerah/panas",7,netral,bermakna
"Ruangan dan Fasilitas sudah Aman dan nyaman, namun lebih bagus lagi jika di fasilitasi dengan pendingin Ruangan",4,netral,bermakna
Tolong di sediakan wifi,7,positif,bermakna
"Tolong di sediakan koneksi internet pada awal masa pelatihan, karena sangat dibutuhkan dalam mengakses",4,positif,bermakna
Tidak ada tisu jadi berminyak meja di rasa :),7,negatif,bermakna
"Untuk segala fasilitasnya semua sudah memadai dan sudah maksimal, saran saya pribadi, mungkin untuk waktu pelatihannya bisa ditambah atau diperpanjang agar kami peserta bisa memahami lebih jauh mengenai pelajaran yang diberikan kepada kami. Selebihnya sudah sangat baik. terimakasih kepada seluruh panitia, mentor dan asesor untuk segala sharing ilmu yang diberikan kepada kami🙏🏻",3,positif,bermakna
lebih baiknya di sediakan kipas🙏,1,positif,bermakna
ruang kelas panas karena tidak ada kipas/ac,7,negatif,bermakna
"- Untuk ruangan nya dapat diberikan gorden pada jendela nya, dikarenakan sinar matahari yang masuk terkadang menyilaukan, selain dari itu ruangan nya sudah nyaman",7,netral,bermakna
Semoga kedepannya ruang yang digunakan pelatihan ada kipas anginnya,4,negatif,bermakna
Saran agar di sediakan wifi agar memudahkan dalam pelatihan dan pengujian.,4,positif,bermakna
saran buat panitia penyelenggara agar di fasilitas jaringan yang kuotanya banyak,4,positif,bermakna
Saran saya agar tersedia lampu dalam ruangan pelatihan,4,positif,bermakna
Semoga pelatihan part selanjutnya ada lagi diadakan di kabupaten Kabupaten Bone,4,netral,bermakna
Semoga pelatihan nya di kasi lama lagi biar kita bisa belajar dengan mundah,4,negatif,bermakna
Sediakan kipas supaya tidak gerah,7,negatif,bermakna
"Ruangan sangat panas, Sebaiknya di sediakan kipas di setiap ruangan",7,negatif,bermakna
"jika pelatihannya diadakan kembali, mohon di sediakan kipas angin.",4,positif,bermakna
Menyediakan kipas angin. Serta layar lcd nya terkadang kurang jelas,7,positif,bermakna
"Saran saya jika akan dilaksanakan kembali pelatihan VSGA, alangkah baiknyaa roomnya disediakan penyejuk agar para peserta tidak merasa kegerahan dan juga proses belajar mengajarnya berlangsung dengan baik☺️",7,positif,bermakna
Saya berharap di kegiatan selanjutnya dapat memaksimalkan ketersediaan sarana digital dan internet yang lebih baik. Seperti komputer yang memadai dan jaringan internet yang bisa diakses semua peserta.,7,positif,bermakna
"Next time, agar kegiatan berjalan dengan lancar tanpa kendala, boleh didukung dengan akses internet yang memadai. Karena selama pelatihan dan sertifikasi, banyak sekali peserta yang terkendala jaringan.",4,positif,bermakna
Sebaiknya ruangannya lebih adem supaya membuat perasaan lebih nyaman,7,positif,bermakna
Ruangan sebaiknya lebih adem agar peserta merasa lebih nyaman,7,positif,bermakna
Ruangan sebaiknya lebih adem agar peserta merasa lebih nyaman,7,positif,bermakna
Alhamdulillah ruangan dan fasilitas pelatihannya sudah sangat baik.,4,netral,bermakna
Sebaiknya ruangnnya lebih adem supaya membuat perasaan lebih nyaman,7,positif,bermakna
Pengiriman tgs nya rumit,7,netral,bermakna
Ruangan pelatihan harus nyaman agar dapat belajar dengan baik,4,netral,bermakna
Saya rasa ruangan dan Fasilitas sudah sangat memadai,4,negatif,bermakna
Saya harap kedepannya panitia bisa lebih mengetatkan aturan tata tertib seperti membuat peraturan dalam ruangan.,7,netral,bermakna
DITINGKAT KAN LAGI DI NEXT EVENT NYA,7,positif,bermakna
lebih meningkatkan kualitas pembelajaran,7,positif,bermakna
sebaiknya ruangan lebih adem sehingga membuat perasaan lebih nyaman,7,positif,bermakna
Hanya perlu ditambahkan 1 meja kecil agar siswa(i) tidak terlalu berdempetan,7,negatif,bermakna
Akses internet menurut saya kurang,7,netral,bermakna
Semoga kedepannya bisa melakukan pelatihan di ruangan yang ber-AC kemudian fasilitas pelatihan sangat baik,4,negatif,bermakna
"Lebih sering melakukan pelatihan seperti ini, karena sangat bermanfaat",4,positif,bermakna
kipas dan AC kurang dingin,6,negatif,bermakna
Paling hanya fasilitas jaringan saja sih,4,positif,bermakna
Ruangan kurang pendingin/AC,7,negatif,bermakna
Semoga kedepan nya lebih jaya,1,positif,bermakna
Tulisan di proyektor kecil,7,netral,bermakna
kurang nyaman,7,netral,bermakna
Kalo bisa ruangnya disediakan fasilitas wifi agar memudahkan peserta dalam mengisi absen dsb.,4,netral,bermakna
"Tolong AC nya dibenerin, agak panas Pak/Bu.",6,netral,bermakna
ruangan nya agak sedikit panas,7,negatif,bermakna
Saran saya mungkin pelatihan berikutnya bisa ditempat yang cukup memadai,4,negatif,bermakna
Kekurangan kursi berdebu,7,negatif,bermakna
"Fasilitas seperti in fokus layarnya mohon lebih di perbesar krna tulisannya blur/buram dan lebih bagus lgi pengajarnya gunakan mic ,dll agar suara pengajarnya lebih jelas . Terimksh 🙏",1,positif,bermakna
Seharusnya ruangan harus memiliki cctv,7,netral,bermakna
ruangannya nyaman dan fasilitas lengkap,4,netral,bermakna
"Ruangan terasa panas, penambahan kipas atau AC",7,netral,bermakna
Di tempat kali ini terdapat beberapa komputer yg miccrosoft yg masih terkunci jadi bagi teman teman yg belum memiliki laptop pribadi agak susah untuk mengikuti pelatihan,7,netral,bermakna
semuanya aman terkendali dan kedepannya semoga infokusnya lebih bagus lagi supaya teman' yang duduk di belakang bisa kelihatan gambarnya dan contohnyaa,7,positif,bermakna
Fasilitas pelatihan semua aman tinggal tempat pelaksanaan yang kedepannya diperhatikan jauh dari keributan,4,netral,bermakna
"Ruang Lab Berisik gara"" suara mesin ac membuat jadi tidak fokus dan tidak ada wifi yg disediakan.",7,negatif,bermakna
kualitas proyektor perlu ditingkatkan,7,positif,bermakna
Ruangan panas sehingga susah untuk konsentrasi,7,negatif,bermakna
Minmal papan tulisnya putih bersih agar infokusnya bisa jelas,7,negatif,bermakna
Layar infokusnya kurang besar 🙏🏾,7,negatif,bermakna
